title,type,release_year,age_certification,target
Moral Orel,SHOW,2006,TV-MA,4
Ocean's Thirteen,MOVIE,2007,PG-13,0
xXx,MOVIE,2002,PG-13,0
Lords of Dogtown,MOVIE,2005,PG-13,2
Blades of Glory,MOVIE,2007,PG-13,3
King Kong,MOVIE,2005,PG-13,2
28 Weeks Later,MOVIE,2007,R,2
The Lord of the Rings: The Return of the King,MOVIE,2003,PG-13,2
Doubt,MOVIE,2008,PG-13,2
Disturbia,MOVIE,2007,PG-13,0
Harry Potter and the Half-Blood Prince,MOVIE,2009,PG,3
Terminator Salvation,MOVIE,2009,PG-13,0
Harry Potter and the Order of the Phoenix,MOVIE,2007,PG-13,3
The Switch,MOVIE,2010,PG-13,4
Real Time with Bill Maher,SHOW,2003,TV-MA,3
Cinderella Man,MOVIE,2005,PG-13,2
Changeling,MOVIE,2008,R,0
The Reader,MOVIE,2008,R,2
Gavin & Stacey,SHOW,2007,TV-PG,4
George Carlin: It's Bad for Ya!,MOVIE,2008,R,1
Thir13en Ghosts,MOVIE,2001,R,0
Bronson,MOVIE,2008,R,2
Nick and Norah's Infinite Playlist,MOVIE,2008,PG-13,4
"I, Robot",MOVIE,2004,PG-13,0
Happy Feet,MOVIE,2006,PG,3
Bored to Death,SHOW,2009,TV-MA,0
The Last Airbender,MOVIE,2010,PG,3
Adventureland,MOVIE,2009,R,4
Journey to the Center of the Earth,MOVIE,2008,PG,3
The Exorcism of Emily Rose,MOVIE,2005,PG-13,0
Defiance,MOVIE,2008,R,0
Treme,SHOW,2010,TV-MA,2
The Heartbreak Kid,MOVIE,2007,R,3
Anger Management,MOVIE,2003,PG-13,3
Harry Potter and the Deathly Hallows: Part 1,MOVIE,2010,PG-13,3
Gran Torino,MOVIE,2008,R,2
Spartan,MOVIE,2004,R,0
Monster-in-Law,MOVIE,2005,PG-13,3
Wicker Park,MOVIE,2004,PG-13,2
A Mighty Wind,MOVIE,2003,PG-13,3
The Benchwarmers,MOVIE,2006,PG-13,3
Monsters,MOVIE,2010,R,0
Troll Hunter,MOVIE,2010,PG-13,0
Leap Year,MOVIE,2010,PG,4
The Sisterhood of the Traveling Pants,MOVIE,2005,PG,4
Capote,MOVIE,2005,R,2
Transporter 3,MOVIE,2008,PG-13,0
Employee of the Month,MOVIE,2006,PG-13,3
The Day the Earth Stood Still,MOVIE,2008,PG-13,0
The Lord of the Rings: The Fellowship of the Ring (Extended Edition),MOVIE,2002,PG-13,3
Max Payne,MOVIE,2008,PG-13,0
Check It Out! with Dr. Steve Brule,SHOW,2010,TV-14,3
Batman: The Brave and the Bold,SHOW,2008,TV-Y7,3
Friday the 13th,MOVIE,2009,R,0
Hotel Rwanda,MOVIE,2004,PG-13,2
The Adventures of Sharkboy and Lavagirl,MOVIE,2005,PG,3
Get Smart,MOVIE,2008,PG-13,3
Freddy vs. Jason,MOVIE,2003,R,3
The League of Extraordinary Gentlemen,MOVIE,2003,PG-13,3
Stuart: A Life Backwards,MOVIE,2007,G,2
Phone Booth,MOVIE,2003,R,0
A Nightmare on Elm Street,MOVIE,2010,R,0
Justice League Unlimited,SHOW,2004,TV-Y7,3
The Ruins,MOVIE,2008,R,0
Cold Mountain,MOVIE,2003,R,2
Rush Hour 2,MOVIE,2001,PG-13,0
Kate & Leopold,MOVIE,2001,PG-13,3
Snakes on a Plane,MOVIE,2006,R,0
Gold Rush,SHOW,2010,TV-PG,3
Tristan & Isolde,MOVIE,2006,PG-13,2
Carnivàle,SHOW,2003,TV-MA,0
Birth,MOVIE,2004,R,0
Everwood,SHOW,2002,TV-PG,2
The Matrix Reloaded,MOVIE,2003,R,0
Starship Troopers 2: Hero of the Federation,MOVIE,2004,R,3
Alvin and the Chipmunks,MOVIE,2007,PG,4
Curious George,MOVIE,2006,G,3
The Losers,MOVIE,2010,PG-13,0
Swordfish,MOVIE,2001,R,0
TMNT,MOVIE,2007,PG,3
The Hours,MOVIE,2002,PG-13,2
Fool's Gold,MOVIE,2008,PG-13,3
Mona Lisa Smile,MOVIE,2003,PG-13,2
What I Like About You,SHOW,2002,TV-PG,3
The New Guy,MOVIE,2002,PG-13,3
Sex Drive,MOVIE,2008,R,3
The Grim Adventures of Billy and Mandy,SHOW,2001,TV-Y7,3
Jimmy Neutron: Boy Genius,MOVIE,2001,G,3
Temple Grandin,MOVIE,2010,G,2
Surrogates,MOVIE,2009,PG-13,0
Ben 10,SHOW,2005,TV-Y7,3
"What's New, Scooby-Doo?",SHOW,2002,TV-Y7,3
The Wrecking Crew,MOVIE,2008,PG,1
The Master of Disguise,MOVIE,2002,PG,3
In Treatment,SHOW,2008,TV-MA,2
Murder by Numbers,MOVIE,2002,R,0
Hung,SHOW,2009,TV-MA,4
The Matrix Revolutions,MOVIE,2003,R,0
Down with Love,MOVIE,2003,PG-13,3
Buried,MOVIE,2010,R,0
The Comeback,SHOW,2005,TV-MA,3
The Uninvited,MOVIE,2009,PG-13,0
The Brothers Grimm,MOVIE,2005,PG-13,0
The Missing,MOVIE,2003,R,0
Doom,MOVIE,2005,R,3
The Scorpion King,MOVIE,2002,PG-13,0
Codename: Kids Next Door,SHOW,2002,TV-Y7,3
The Brothers Solomon,MOVIE,2007,R,3
Foster's Home for Imaginary Friends,SHOW,2004,TV-Y7,3
Splinter,MOVIE,2008,R,0
Miss Congeniality 2: Armed and Fabulous,MOVIE,2005,PG-13,3
American Psycho II: All American Girl,MOVIE,2002,R,0
Australia,MOVIE,2008,PG-13,4
The Boondock Saints II: All Saints Day,MOVIE,2009,R,0
The Next Three Days,MOVIE,2010,PG-13,0
Superman Returns,MOVIE,2006,PG-13,3
The X Files: I Want to Believe,MOVIE,2008,PG-13,0
Monster's Ball,MOVIE,2001,R,2
Catwoman,MOVIE,2004,PG-13,3
12 Rounds,MOVIE,2009,PG-13,0
Storm Chasers,SHOW,2007,TV-PG,1
Transporter 2,MOVIE,2005,PG-13,0
Ghost Town,MOVIE,2008,PG-13,4
The Bachelorette,SHOW,2003,TV-14,4
Bully,MOVIE,2001,R,2
Sex and the City,MOVIE,2008,R,4
Maid in Manhattan,MOVIE,2002,PG-13,4
For Your Consideration,MOVIE,2006,PG-13,3
Nanny McPhee,MOVIE,2005,PG,3
Underworld: Rise of the Lycans,MOVIE,2009,R,0
Dark Water,MOVIE,2005,PG-13,2
March of the Penguins,MOVIE,2005,G,1
World's Greatest Dad,MOVIE,2009,R,4
We Are Marshall,MOVIE,2006,PG,2
The Animatrix,MOVIE,2003,PG-13,3
The Rules of Attraction,MOVIE,2002,R,4
Conspiracy,MOVIE,2001,R,2
Mindhunters,MOVIE,2004,R,0
Capturing the Friedmans,MOVIE,2003,G,1
The Secret World of Arrietty,MOVIE,2010,G,2
What a Girl Wants,MOVIE,2003,PG,4
Original Sin,MOVIE,2001,R,2
The Queen,MOVIE,2006,PG-13,2
Last Night,MOVIE,2010,R,2
Jonah Hex,MOVIE,2010,PG-13,0
The Golden Compass,MOVIE,2007,PG-13,3
Ultraviolet,MOVIE,2006,PG-13,0
Wristcutters: A Love Story,MOVIE,2006,R,4
Deception,MOVIE,2008,R,0
Shall We Dance?,MOVIE,2004,PG-13,4
Daddy Day Care,MOVIE,2003,PG,3
Divine Secrets of the Ya-Ya Sisterhood,MOVIE,2002,PG-13,2
The Fog,MOVIE,2005,PG-13,0
Killers,MOVIE,2010,PG-13,3
The Omen,MOVIE,2006,R,0
Ghosts of Girlfriends Past,MOVIE,2009,PG-13,3
Frisky Dingo,SHOW,2006,TV-MA,3
The No. 1 Ladies' Detective Agency,SHOW,2009,G,4
The Cooler,MOVIE,2003,R,2
Two Lovers,MOVIE,2008,R,2
"You, Me and Dupree",MOVIE,2006,PG-13,3
Frequently Asked Questions About Time Travel,MOVIE,2009,PG-13,3
The Rocker,MOVIE,2008,PG-13,3
American Splendor,MOVIE,2003,R,4
The Wackness,MOVIE,2008,R,4
The Haunting in Connecticut,MOVIE,2009,PG-13,0
From Paris with Love,MOVIE,2010,R,0
Jersey Girl,MOVIE,2004,PG-13,4
Last Days,MOVIE,2005,R,2
Rush Hour 3,MOVIE,2007,PG-13,0
Grey Gardens,MOVIE,2009,PG,2
After the Sunset,MOVIE,2004,PG-13,4
The Secret Life of Bees,MOVIE,2008,PG-13,2
Two for the Money,MOVIE,2005,R,0
Final Fantasy: The Spirits Within,MOVIE,2001,PG-13,0
Going the Distance,MOVIE,2010,R,4
The Conspirator,MOVIE,2010,PG-13,2
Legend of the Guardians: The Owls of Ga'Hoole,MOVIE,2010,PG,0
Men of a Certain Age,SHOW,2009,TV-MA,4
Superjail!,SHOW,2008,TV-MA,3
xXx: State of the Union,MOVIE,2005,PG-13,0
Fired Up!,MOVIE,2009,PG-13,3
Basic Instinct 2,MOVIE,2006,R,0
Squidbillies,SHOW,2004,TV-14,0
Righteous Kill,MOVIE,2008,R,0
The Cat Returns,MOVIE,2002,G,3
Tales from Earthsea,MOVIE,2006,PG-13,3
View from the Top,MOVIE,2003,PG-13,3
Batman: Under the Red Hood,MOVIE,2010,PG-13,3
Mr. Magorium's Wonder Emporium,MOVIE,2007,G,3
Street Fighter: The Legend of Chun-Li,MOVIE,2009,PG-13,0
Five Days,SHOW,2007,TV-MA,0
Pocoyo,SHOW,2005,TV-G,3
61*,MOVIE,2001,R,2
Fat Girl,MOVIE,2001,G,2
Don't Be Afraid of the Dark,MOVIE,2010,R,0
Old Joy,MOVIE,2006,G,2
Hart's War,MOVIE,2002,R,2
Friday After Next,MOVIE,2002,R,4
Sleuth,MOVIE,2007,R,0
The Final Cut,MOVIE,2004,PG-13,0
Cry_Wolf,MOVIE,2005,PG-13,0
Magic & Bird: A Courtship of Rivals,MOVIE,2010,G,1
The Water Horse,MOVIE,2007,PG,3
Welcome to Collinwood,MOVIE,2002,R,3
Perfect Stranger,MOVIE,2007,R,0
The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3
Changing Lanes,MOVIE,2002,R,0
Looney Tunes: Back in Action,MOVIE,2003,PG,3
Dirty Pretty Things,MOVIE,2002,R,0
Tell Me You Love Me,SHOW,2007,TV-MA,4
Sugar,MOVIE,2008,R,2
Chowder,SHOW,2007,TV-Y7,3
Real Women Have Curves,MOVIE,2002,PG-13,4
Iris,MOVIE,2001,R,2
The Gathering Storm,MOVIE,2002,G,2
The Animal,MOVIE,2001,PG-13,3
Rugrats Go Wild,MOVIE,2003,PG,3
The Spirit,MOVIE,2008,PG-13,0
Tom Goes to the Mayor,SHOW,2004,TV-PG,3
Yogi Bear,MOVIE,2010,PG,3
The Forgotten,MOVIE,2004,PG-13,0
Something the Lord Made,MOVIE,2004,PG,2
Madea Goes to Jail,MOVIE,2009,PG-13,4
Stuck on You,MOVIE,2003,PG-13,3
The Sisterhood of the Traveling Pants 2,MOVIE,2008,PG-13,4
Bridget Jones: The Edge of Reason,MOVIE,2004,R,4
Rabbit Hole,MOVIE,2010,PG-13,2
Nancy Drew,MOVIE,2007,PG,3
Ben 10: Alien Force,SHOW,2008,TV-Y7,3
Alex & Emma,MOVIE,2003,PG-13,3
Taking Chance,MOVIE,2009,G,2
Prime,MOVIE,2005,PG-13,4
Into the Storm,MOVIE,2009,PG,2
Brooklyn's Finest,MOVIE,2010,R,0
Madea's Family Reunion,MOVIE,2006,PG-13,4
Sex and the City 2,MOVIE,2010,R,4
Undisputed,MOVIE,2002,R,0
Impostor,MOVIE,2001,R,0
Project Greenlight,SHOW,2001,TV-MA,1
"Lucy, the Daughter of the Devil",SHOW,2005,TV-MA,3
Igby Goes Down,MOVIE,2002,R,4
Zoom,MOVIE,2006,PG,3
Why Did I Get Married?,MOVIE,2007,PG-13,4
War,MOVIE,2007,R,0
Diary of a Mad Black Woman,MOVIE,2005,PG-13,4
Duplex,MOVIE,2003,PG-13,1
Just Married,MOVIE,2003,PG-13,4
Hostage,MOVIE,2005,R,0
Bury My Heart at Wounded Knee,MOVIE,2007,G,2
Still Waiting...,MOVIE,2009,G,3
How to Make It in America,SHOW,2010,TV-MA,4
Hard Knocks,SHOW,2001,G,1
Dane Cook: Vicious Circle,MOVIE,2006,R,1
We Stand Alone Together: The Men of Easy Company,MOVIE,2001,PG,1
Man of the House,MOVIE,2005,PG-13,3
Batman: Gotham Knight,MOVIE,2008,PG-13,3
For Colored Girls,MOVIE,2010,R,2
Cradle 2 the Grave,MOVIE,2003,R,0
John from Cincinnati,SHOW,2007,TV-MA,2
The Sarah Jane Adventures,SHOW,2007,TV-PG,2
Chris Rock: Never Scared,MOVIE,2004,G,1
Balls Out: Gary the Tennis Coach,MOVIE,2009,R,3
Delocated,SHOW,2008,TV-MA,3
Starter for 10,MOVIE,2006,PG-13,4
Will Ferrell: You're Welcome America - A Final Night with George W. Bush,MOVIE,2009,G,3
You Don't Know Jack,MOVIE,2010,R,1
An American Haunting,MOVIE,2005,PG-13,0
Recount,MOVIE,2008,PG-13,2
Carrie Fisher: Wishful Drinking,MOVIE,2010,G,1
Van Wilder 2: The Rise of Taj,MOVIE,2006,R,3
The Batman vs. Dracula,MOVIE,2005,G,0
Maria Full of Grace,MOVIE,2004,R,0
Furry Vengeance,MOVIE,2010,PG,3
Are We There Yet?,MOVIE,2005,PG,3
Little Black Book,MOVIE,2004,PG-13,4
Racing Stripes,MOVIE,2005,PG,4
Little Man,MOVIE,2006,PG-13,3
Dane Cook's Tourgasm,SHOW,2006,TV-MA,3
Ben 10: Ultimate Alien,SHOW,2010,TV-Y7,3
Fay Grim,MOVIE,2006,R,0
As You Like It,MOVIE,2006,PG,4
Justice League: Crisis on Two Earths,MOVIE,2010,PG-13,3
Xavier: Renegade Angel,SHOW,2007,TV-MA,3
Vampires: Los Muertos,MOVIE,2002,R,0
The Life & Times of Tim,SHOW,2008,G,3
Mimic: Sentinel,MOVIE,2003,R,0
Wit,MOVIE,2001,PG-13,2
Laws of Attraction,MOVIE,2004,PG-13,4
El cantante,MOVIE,2006,R,2
Tsunami: The Aftermath,MOVIE,2006,G,2
Bachelor Pad,SHOW,2010,G,3
Revanche,MOVIE,2008,G,0
Strip Search,MOVIE,2004,G,2
Ondine,MOVIE,2009,PG-13,2
Superman/Batman: Public Enemies,MOVIE,2009,PG-13,3
Reservation Road,MOVIE,2007,R,0
Eve,SHOW,2003,TV-PG,3
The Extra Man,MOVIE,2010,R,3
Category 7: The End of the World,SHOW,2005,TV-PG,0
Le Divorce,MOVIE,2003,PG-13,4
Mimic 2,MOVIE,2001,R,0
Rocket Science,MOVIE,2007,R,4
The Wild Thornberrys Movie,MOVIE,2002,PG,3
Happily N'Ever After,MOVIE,2007,PG,3
Funny or Die Presents,SHOW,2010,TV-MA,3
La Ciénaga,MOVIE,2001,R,4
Santa's Slay,MOVIE,2005,R,3
Superman: Doomsday,MOVIE,2007,PG-13,3
The Accidental Spy,MOVIE,2001,PG-13,0
Iron Jawed Angels,MOVIE,2004,G,2
Igor,MOVIE,2008,PG,3
How to Deal,MOVIE,2003,PG-13,4
Batman: Mystery of the Batwoman,MOVIE,2003,PG,3
Daddy's Little Girls,MOVIE,2007,PG-13,4
Princess Ka'iulani,MOVIE,2010,PG,2
Superman/Batman: Apocalypse,MOVIE,2010,PG-13,3
Dope Sick Love,MOVIE,2005,G,1
Things We Lost in the Fire,MOVIE,2007,R,2
Stealing Harvard,MOVIE,2002,PG-13,4
Dave Attell: Captain Miserable,MOVIE,2007,G,1
I Can Do Bad All By Myself,MOVIE,2009,PG-13,4
Why Did I Get Married Too?,MOVIE,2010,PG-13,4
Catch That Kid,MOVIE,2004,PG,3
Thin,MOVIE,2006,PG-13,1
Frozen River,MOVIE,2008,R,2
Broken English,MOVIE,2007,PG-13,4
Teen Titans: Trouble in Tokyo,MOVIE,2006,G,3
Everyday People,MOVIE,2004,G,2
12 oz. Mouse,SHOW,2005,TV-MA,3
The Life Before Her Eyes,MOVIE,2007,R,0
Are We Done Yet?,MOVIE,2007,PG,3
Whoopi Goldberg: Back to Broadway,MOVIE,2005,G,1
Leonard Cohen: I'm Your Man,MOVIE,2006,PG-13,1
Dr. Dolittle 2,MOVIE,2001,PG,3
Scooby-Doo! and the Goblin King,MOVIE,2008,G,3
The Beales of Grey Gardens,MOVIE,2006,G,1
Capadocia,SHOW,2008,TV-MA,2
Down and Dirty with Jim Norton,SHOW,2008,TV-MA,3
Barry Munday,MOVIE,2010,R,4
Empire Falls,MOVIE,2005,PG-13,2
Path to War,MOVIE,2003,G,2
Godsend,MOVIE,2004,PG-13,0
Control Room,MOVIE,2004,G,1
And Starring Pancho Villa as Himself,MOVIE,2003,G,2
The Iceman Confesses: Secrets of a Mafia Hitman,MOVIE,2001,G,0
Einstein and Eddington,MOVIE,2008,PG-13,2
Green Lantern: First Flight,MOVIE,2009,PG-13,3
Smart People,MOVIE,2008,R,4
Jim Jefferies: I Swear to God,MOVIE,2009,G,1
Walkout,MOVIE,2006,G,2
Scooby-Doo! Pirates Ahoy!,MOVIE,2006,G,3
Justice League: The New Frontier,MOVIE,2008,PG-13,3
Not Easily Broken,MOVIE,2009,PG-13,2
Pu-239,MOVIE,2006,R,2
The Laramie Project,MOVIE,2002,G,2
The Special Relationship,MOVIE,2010,G,2
Capturing Mary,MOVIE,2007,G,2
Have You Seen Andy?,MOVIE,2003,G,1
The Fence (La Barda),MOVIE,2010,G,1
No End in Sight,MOVIE,2007,G,1
Warm Springs,MOVIE,2005,G,2
Space Chimps,MOVIE,2008,G,3
Yesterday,MOVIE,2004,R,2
Stacey Dooley Investigates,SHOW,2009,G,1
Bernard and Doris,MOVIE,2006,G,4
Scooby-Doo! The Mystery Begins,MOVIE,2009,PG,3
What's the Worst That Could Happen?,MOVIE,2001,PG-13,3
Dinner with Friends,MOVIE,2001,R,4
Wrong Turn at Tahoe,MOVIE,2009,R,0
The Answer Man,MOVIE,2009,R,3
Dead Heat,MOVIE,2002,R,4
Dirty War,MOVIE,2004,G,0
Scooby-Doo! Curse of the Lake Monster,MOVIE,2010,PG,3
Dr. Dolittle: Tail to the Chief,MOVIE,2008,PG,3
Chris Rock: Kill the Messenger,MOVIE,2008,G,1
On the Record with Bob Costas,SHOW,2001,TV-14,3
City of Ghosts,MOVIE,2002,R,0
Wartorn: 1861-2010,MOVIE,2010,G,1
Wonder Woman,MOVIE,2009,PG-13,3
Bob Saget: That Ain't Right,MOVIE,2007,G,1
Autism: The Musical,MOVIE,2007,G,1
Sometimes in April,MOVIE,2005,G,2
Superman: Brainiac Attacks,MOVIE,2006,G,3
Boy Interrupted,MOVIE,2009,G,1
Dr. Dolittle 3,MOVIE,2006,PG,3
Scooby-Doo! and the Samurai Sword,MOVIE,2009,G,3
Scooby-Doo! Camp Scare,MOVIE,2010,PG,0
Which Way Home,MOVIE,2009,G,1
Ben 10: Race Against Time,MOVIE,2008,PG,0
Ghosts of Abu Ghraib,MOVIE,2007,G,1
Epitaphs,SHOW,2004,TV-MA,0
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,MOVIE,2007,G,1
Joe's Palace,MOVIE,2007,G,2
Tracey Ullman: Live and Exposed,MOVIE,2005,G,1
Elizabeth I,MOVIE,2005,G,2
Happily N'Ever After 2,MOVIE,2009,G,3
Lottery Ticket,MOVIE,2010,PG-13,3
The Fever,MOVIE,2004,R,2
Journeys with George,MOVIE,2002,G,1
Foster's Home for Imaginary Friends: Destination Imagination,MOVIE,2008,PG,3
Baghdad ER,MOVIE,2006,G,1
Jim Norton: Monster Rain,MOVIE,2007,R,1
Primo,MOVIE,2005,G,2
The Iceman and the Psychiatrist,MOVIE,2004,G,1
"George Lopez: Tall, Dark & Chicano",MOVIE,2009,G,1
House Party 4: Down to the Last Minute,MOVIE,2001,R,3
Shrink,MOVIE,2009,R,4
When the Levees Broke: A Requiem in Four Acts,MOVIE,2006,PG,1
Little Rock Central: 50 Years Later,MOVIE,2007,G,1
Coma,MOVIE,2007,PG,1
Wide Awake,MOVIE,2006,R,1
Ellen DeGeneres: Here and Now,MOVIE,2003,G,1
Dana Carvey: Squatting Monkeys Tell No Lies,MOVIE,2008,R,1
Scooby-Doo! Abracadabra-Doo,MOVIE,2010,G,3
Addiction,MOVIE,2007,G,1
Twist of Faith,MOVIE,2004,G,1
Space Chimps 2: Zartog Strikes Back,MOVIE,2010,PG,3
Heir To An Execution,MOVIE,2004,G,1
Boycott,MOVIE,2001,PG,2
"Bill Maher: ""... But I'm Not Wrong""",MOVIE,2010,G,1
Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,2006,G,3
Bill Maher: Victory Begins at Home,MOVIE,2003,G,1
Life Support,MOVIE,2007,G,2
Top Ten Monks,MOVIE,2010,G,1
Classical Baby,SHOW,2005,TV-Y,3
Heidi Fleiss: The Would-be Madam of Crystal,MOVIE,2008,G,1
The End,MOVIE,2004,G,0
Indian Point: Imagining the Unimaginable,MOVIE,2004,G,1
A Rape in a Small Town: The Florence Holway Story,MOVIE,2005,G,1
The Music in Me: The Leopards Take Manhattan - The Little Band That Roared,MOVIE,2008,G,1
Super Capers,MOVIE,2009,PG,3
"Lucía, Lucía",MOVIE,2003,R,4
For Neda,MOVIE,2010,G,1
The Last Truck: Closing of a GM Plant,MOVIE,2009,G,1
"Lewis Black: Red, White & Screwed",MOVIE,2006,G,1
When I Knew,MOVIE,2009,G,1
If God Is Willing and da Creek Don't Rise,SHOW,2010,TV-MA,1
Shot Heard 'Round the World,MOVIE,2001,G,1
12th & Delaware,MOVIE,2010,G,1
Life on Fire,SHOW,2010,TV-PG,1
By the People: The Election of Barack Obama,MOVIE,2009,G,1
Positively Naked,MOVIE,2005,G,3
Homeless: The Motel Kids of Orange County,MOVIE,2010,G,1
The Trials of Ted Haggard,MOVIE,2009,G,1
Diagnosis Bipolar: Five Families Search for Answers,MOVIE,2010,G,1
Sons of Carnaval,SHOW,2006,G,2
The Vagina Monologues,MOVIE,2002,G,4
Cedric the Entertainer: Taking You Higher,MOVIE,2006,G,1
"Thank You, Mr. President: Helen Thomas at the White House",MOVIE,2008,G,1
Beah: A Black Woman Speaks,MOVIE,2003,G,1
Billie Jean King: Portrait of a Pioneer,MOVIE,2006,PG,1
Bill Maher: The Decider,MOVIE,2007,G,1
The Alzheimer's Project,SHOW,2009,TV-PG,1
D.L. Hughley: Unapologetic,MOVIE,2007,G,1
David McCullough: Painting with Words,MOVIE,2008,G,1
Tracey Ullman in the Trailer Tales,MOVIE,2003,G,3
Section 60: Arlington National Cemetery,MOVIE,2008,G,1
Hear and Now,MOVIE,2007,G,1
Plastic Disasters,MOVIE,2006,G,1
Pinochet in Suburbia,MOVIE,2006,G,2
Lewis Black:  Black on Broadway,MOVIE,2004,G,1
Liberty Kid,MOVIE,2007,G,2
I Have Tourette's But Tourette's Doesn't Have Me,MOVIE,2005,G,1
Last Letters Home,MOVIE,2004,G,1
Alive Day Memories: Home from Iraq,MOVIE,2007,G,1
Kiltro,MOVIE,2006,G,4
Shouting Fire: Stories from the Edge of Free Speech,MOVIE,2009,G,1
Dark Light: The Art of Blind Photographers,MOVIE,2009,G,1
George Lopez: America's Mexican,MOVIE,2007,R,1
Russell Simmons Presents: Brave New Voices,SHOW,2009,TV-MA,1
The Music in Me,MOVIE,2006,G,1
Hard as Nails,MOVIE,2007,G,1
Bud Greenspan’s Torino 2006: Stories of Olympic Glory,MOVIE,2007,G,1
Richard Jeni: A Big Steaming Pile of Me,MOVIE,2005,G,1
The Spirit of Salsa,MOVIE,2010,G,1
Salt Lake 2002: Stories of Olympic Glory,MOVIE,2003,G,1
Angel Rodriguez,MOVIE,2005,G,2
Kindergarten,SHOW,2001,G,1
Tracy Morgan: Black & Blue,MOVIE,2010,G,1
Robert Klein: Unfair & Unbalanced,MOVIE,2010,G,1
Dennis Miller: All In,MOVIE,2006,G,3
Dennis Miller: The Raw Feed,MOVIE,2003,G,1
A Family Is a Family Is a Family: A Rosie O'Donnell Celebration,MOVIE,2010,G,1
Bud Greenspan’s Athens 2004: Stories of Olympic Glory,MOVIE,2005,G,1
Portraits of a Lady,MOVIE,2008,PG-13,1
Celebrity Habla 2,MOVIE,2010,PG,1
Habla más,MOVIE,2006,G,1
Celebrity Habla,MOVIE,2009,PG,1
Friends of God: A Road Trip with Alexandra Pelosi,MOVIE,2007,G,1
Sydney 2000: Stories of Olympic Glory,MOVIE,2001,G,1
Brave New Voices 2010,MOVIE,2010,G,1
Habla Ya,MOVIE,2008,G,1
The Music in Me: A Family Special,MOVIE,2007,G,1
Mr. Conservative: Goldwater on Goldwater,MOVIE,2007,G,1
I Can't Do This But I CAN Do That: A Film for Families about Learning Differences,MOVIE,2010,G,1
House of Saddam,MOVIE,2008,G,2
"No Contract, No Cookies: The Stella D'Oro Strike",MOVIE,2010,G,1
Robert Klein: The Amorous Busboy of Decatur Avenue,MOVIE,2005,G,1
Michigan vs. Ohio State:  The Rivalry,MOVIE,2007,G,1
Habla y Habla,MOVIE,2006,G,1
Getting Played,MOVIE,2005,PG-13,3
Dirty Driving: Thundercars Of Indiana,MOVIE,2008,G,1
Studs Terkel: Listening to America,MOVIE,2009,G,1
Game of Thrones,SHOW,2011,TV-MA,2
"Crazy, Stupid, Love.",MOVIE,2011,PG-13,4
Person of Interest,SHOW,2011,TV-14,0
Veep,SHOW,2012,TV-MA,3
Impractical Jokers,SHOW,2011,TV-14,3
Limitless,MOVIE,2011,PG-13,0
The Newsroom,SHOW,2012,TV-MA,2
Happy Endings,SHOW,2011,TV-14,3
The Perks of Being a Wallflower,MOVIE,2012,PG-13,2
The Hobbit: An Unexpected Journey,MOVIE,2012,PG-13,3
Falling Skies,SHOW,2011,TV-14,0
Key & Peele,SHOW,2012,TV-14,3
Moonrise Kingdom,MOVIE,2012,PG-13,4
This Is 40,MOVIE,2012,R,3
Hunter x Hunter,SHOW,2011,TV-14,3
Rango,MOVIE,2011,PG,4
The Help,MOVIE,2011,PG-13,2
Contagion,MOVIE,2011,PG-13,0
Conan the Barbarian,MOVIE,2011,R,3
Horrible Bosses,MOVIE,2011,R,3
Life of Pi,MOVIE,2012,PG,2
The Lincoln Lawyer,MOVIE,2011,R,0
Sherlock Holmes: A Game of Shadows,MOVIE,2011,PG-13,0
Hugo,MOVIE,2011,PG,2
Game Change,MOVIE,2012,G,2
Scott & Bailey,SHOW,2011,TV-14,2
Girls,SHOW,2012,TV-MA,4
Taken 2,MOVIE,2012,PG-13,0
Super 8,MOVIE,2011,PG-13,0
Billy on the Street,SHOW,2011,TV-14,3
The Amazing World of Gumball,SHOW,2011,TV-Y7,3
Battle: Los Angeles,MOVIE,2011,PG-13,3
Puella Magi Madoka Magica,SHOW,2011,TV-14,0
Harry Potter and the Deathly Hallows: Part 2,MOVIE,2011,PG-13,2
War Horse,MOVIE,2011,PG-13,2
Project X,MOVIE,2012,R,3
Green Lantern,MOVIE,2011,PG-13,0
Major Crimes,SHOW,2012,TV-14,2
Real Steel,MOVIE,2011,PG-13,2
DCI Banks,SHOW,2011,TV-14,2
"Batman: The Dark Knight Returns, Part 1",MOVIE,2012,PG-13,0
Wrath of the Titans,MOVIE,2012,PG-13,3
Batman: Year One,MOVIE,2011,PG-13,3
The Adventures of Tintin,MOVIE,2011,PG,3
Young Adult,MOVIE,2011,R,4
Seeking a Friend for the End of the World,MOVIE,2012,R,4
What to Expect When You're Expecting,MOVIE,2012,PG-13,4
The Lucky One,MOVIE,2012,PG-13,2
Anna Karenina,MOVIE,2012,R,2
The Hunter,MOVIE,2011,R,0
The Hangover Part II,MOVIE,2011,R,3
Parade's End,SHOW,2012,TV-MA,2
Too Big to Fail,MOVIE,2011,G,2
Underworld: Awakening,MOVIE,2012,R,0
The Looney Tunes Show,SHOW,2011,TV-PG,3
J. Edgar,MOVIE,2011,R,2
Green Lantern: The Animated Series,SHOW,2011,TV-PG,3
Enlightened,SHOW,2011,TV-MA,4
